[ 2026-09-02 11:05:31.773 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cad7ab0>
[ 2026-09-02 11:05:31.914 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10d0e33c0>
[ 2026-09-02 11:05:31.915 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10c4333c0>
[ 2026-09-02 11:05:31.925 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10bcf29d0>
[ 2026-09-02 11:05:32.100 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabe7c0>
[ 2026-09-02 11:05:32.102 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10bcf29d0>
[ 2026-09-02 11:05:32.305 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabe7c0>
[ 2026-09-02 11:05:33.224 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b855f80>
[ 2026-09-02 11:05:33.227 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabe7c0>
[ 2026-09-02 11:05:33.421 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10b855f80>
[ 2026-09-02 11:05:33.766 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabe7c0>
[ 2026-09-02 11:05:33.770 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffe370>
[ 2026-09-02 11:05:34.027 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10be85470>
[ 2026-09-02 11:05:34.331 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffe730>
[ 2026-09-02 11:05:34.334 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffd410>
[ 2026-09-02 11:05:34.526 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cfff8d0>
[ 2026-09-02 11:05:35.352 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffc480>
[ 2026-09-02 11:05:35.446 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabe7c0>
[ 2026-09-02 11:05:35.448 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cfff780>
[ 2026-09-02 11:05:35.602 | DEBUG    | exo.api.main:_log_requests:338 ] API request: GET /metrics
[ 2026-09-02 11:05:35.626 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc30>
[ 2026-09-02 11:05:35.861 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffcd50>
[ 2026-09-02 11:05:35.863 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc30>
[ 2026-09-02 11:05:35.864 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cffde30>
[ 2026-09-02 11:05:35.866 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cfffcc0>
[ 2026-09-02 11:05:36.558 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc30>
[ 2026-09-02 11:05:36.560 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cfff270>
[ 2026-09-02 11:05:36.738 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc30>
[ 2026-09-02 11:05:36.893 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc00>
[ 2026-09-02 11:05:36.896 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc30>
[ 2026-09-02 11:05:37.680 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabcae0>
[ 2026-09-02 11:05:37.683 | DEBUG    | exo.routing.router:_networking_recv:190 ] <builtins.Message object at 0x10cabfc00>
