seg,len,max_cycles,final_mean_accept,gamma
0,492,350,1.286,2
1,3974,3974,1.639,3
2,533,533,1.773,3
3,28,28,2.143,3
4,50,50,2.14,3
5,21,21,1.905,3
6,52,52,2.115,3
7,21,21,1.905,3
8,23,23,1.87,3
9,2442,2442,2.114,3
10,525,525,1.893,3
11,188,188,1.862,3
12,1339,1339,1.682,3
13,1138,1138,2.233,3
14,1553,1553,1.837,3
15,148,148,2.372,3
16,299,299,2.344,3
17,303,303,2.3,3
18,1,1,0.0,3
19,85,85,2.165,3
20,112,112,1.723,3
21,195,195,2.118,3
22,19,19,0.0,3
23,1,1,0.0,3
24,3289,3289,2.151,3
25,1907,1907,1.717,3
26,982,982,1.977,3
27,711,711,1.987,3
28,777,777,1.775,3
29,14,14,2.143,3
30,2947,2947,1.707,3
31,114,114,1.675,3
32,1313,1313,2.438,3
33,14,14,2.143,3
34,5753,5753,2.497,3
35,93,93,1.935,3
36,1,1,0.0,3
37,5576,5576,2.416,3
38,14,14,2.143,3
39,38,38,2.158,3
40,2141,2141,2.525,3
41,2120,2120,2.561,3
42,551,551,2.162,3
43,723,723,2.52,3
44,1032,1032,2.244,3
45,143,143,1.853,3
46,119,119,1.681,3
47,91,91,2.319,3
48,74,74,2.23,3
49,6,6,2.167,3
50,19,19,0.0,3
51,6,6,2.167,3
52,27,27,2.037,3
53,19,19,0.0,3
54,855,855,0.0,3
55,731,731,0.0,3
56,13,13,1.308,3
57,638,638,0.0,3
58,379,379,0.0,3
59,237,237,1.89,3
60,6,6,2.167,3
61,99,99,2.091,3
62,2458,2458,1.642,3
63,56,56,2.429,3
64,491,491,1.442,3
65,3175,3175,1.773,3
66,1988,1988,1.722,3
67,1492,1492,1.415,3
68,1068,1068,1.249,3
69,1006,1006,1.386,3
70,614,614,2.062,3
71,22,22,1.909,3
72,6,6,2.0,3
73,92,92,1.63,3
